NAME,Site_Name,distance_to_site_miles,ZIP,STATE,CITY,CNTY
Patricia Beatty Elementary,Alark Hard Chrome,0.8162485380978118,92501,CA,Riverside,6065
JHS 162 WILLOUGHBY (THE),Newtown Creek,0.8165669590709189,11237,NY,BROOKLYN,36047
OGDEN ELEMENTARY SCHOOL,Peninsula Boulevard Ground Water Plume,0.8166208392670339,11581,NY,VALLEY STREAM,36059
Central Middle School,Kokomo Contaminated Ground Water Plume,0.8166639681325695,46901,IN,Kokomo,18067
Leadership Public Schools: Richmond,United Heckathorn Co.,0.8170705684104763,94801,CA,Richmond,6013
Le Mars High School,Highway 3 PCE,0.8170772705091005,51031,IA,Le Mars,19149
Serrano Elementary,March Air Force Base,0.8172241419198688,92553,CA,Moreno Valley,6065
NIAGARA FALLS HIGH SCHOOL,Forest Glen Mobile Home Subdivision,0.8175682563964072,14305,NY,NIAGARA FALLS,36063
Parkland HS,Novak Sanitary Landfill,0.8177856465345984,18104,PA,Allentown,42077
Johnnie L. Cochran Jr. Academy,U.S. Radium Corp.,0.8179032508734285,7017,NJ,EAST ORANGE,34013
Elizabeth Carter Brooks,Sullivan's Ledge,0.8179518198314535,2740,MA,New Bedford,25005
Early Learning Center,Yeoman Creek Landfill,0.8183718482820916,60085,IL,Waukegan,17097
Denver Online,Denver Radium Site,0.8196586468380196,80223,CO,DENVER,8031
Mathematics and Science Leadership Academy,Denver Radium Site,0.8196586468380196,80223,CO,DENVER,8031
KIPP Denver Collegiate High School,Denver Radium Site,0.8196586468380196,80223,CO,DENVER,8031
PS 299 THOMAS WARREN FIELD SCHOOL,Wolff-Alport Chemical Company,0.8198657069955235,11221,NY,BROOKLYN,36047
Raisbeck Aviation High School,Lower Duwamish Waterway,0.8199637348620347,98108,WA,Tukwila,53033
Jefferson School,Ionia City Landfill,0.8199853316564278,48846,MI,IONIA,26067
Michael Anderson,Phoenix-Goodyear Airport Area,0.8202501663338717,85323,AZ,AVONDALE,4013
Kent County Secondary ILC,Dover Gas Light Co.,0.8203598463204085,19904,DE,Dover,10001
SCPS EARLY LEARNING CENTER,Sanford Dry Cleaners,0.820695497678853,32771,FL,SANFORD,12117
Godwin Heights Learning Center,Chem Central,0.8209206264980528,49548,MI,GRAND RAPIDS,26081
EARL L VANDERMEULEN HIGH SCHOOL,"Lawrence Aviation Industries, Inc.",0.8209922232818555,11777,NY,PORT JEFFERSON,36103
Sespe,Pacific Coast Pipe Lines,0.8213101608216136,93015,CA,Fillmore,6111
Thomas Willett Elementary School,Walton & Lonsbury Inc.,0.8214407697909061,2703,MA,Attleboro,25005
Central Louisiana Supports and Services Center,Capitol Lakes,0.8216832707049219,71306,LA,Alexandria,22033
Woodland Intermediate School,Middlesex Sampling Plant (USDOE),0.8219058290590616,8846,NJ,Middlesex,34023
Von E. Mauger Middle School,Middlesex Sampling Plant (USDOE),0.8219058290590616,8846,NJ,MIDDLESEX,34023
Walnut Creek Campus,Railroad Avenue Groundwater Contamination,0.8220168447883357,50265,IA,West Des Moines,19153
Sgt Wm H Carney Academy,New Bedford Site,0.8221549424833313,2740,MA,New Bedford,25005
Four Rivers Career Center,Sporlan Valve Plant #1,0.822287019631077,63090,MO,Washington,29071
LINO PADRO RIVERA,Vega Baja Solid Waste Disposal,0.8228310198391379,693,PR,VEGA BAJA,72145
Parker Elementary School,Middlesex Sampling Plant (USDOE),0.8228958475555416,8846,NJ,MIDDLESEX,34023
STEVENSON MIDDLE,Geneva Industries/Fuhrmann Energy,0.8230544170503844,77017,TX,HOUSTON,48201
EVIT - Coronado High School,Indian Bend Wash Area,0.8236790911707654,85257,AZ,SCOTTSDALE,4013
Girls Athletic Leadership School Middle School,Denver Radium Site,0.823696717311089,80204,CO,DENVER,8031
Girls Athletic Leadership School High School,Denver Radium Site,0.823696717311089,80204,CO,DENVER,8031
NORWOOD AVENUE SCHOOL,"Lawrence Aviation Industries, Inc.",0.8237782399792604,11776,NY,PORT JEFFERSON STA,36103
Options for Youth San Gabriel,San Gabriel Valley (Area 3),0.8241095603892656,91776,CA,San Gabriel,6037
Anderson Crawford Elementary,Eielson Air Force Base,0.824556973041966,99702,AK,Eielson AFB,2090
Erial Elementary School,GEMS Landfill,0.8246398166814302,8081,NJ,SICKLERVILLE,34007
One City Elementary School,Madison Metropolitan Sewerage District Lagoons,0.8248492747473787,53713,WI,Madison,55025
One City Preparatory Academy,Madison Metropolitan Sewerage District Lagoons,0.8248492747473787,53713,WI,Madison,55025
Alderwood Elementary School,Oeser Co,0.8250616695703342,98225,WA,Bellingham,53073
Adak School,Adak Naval Air Station,0.8251555301042212,99546,AK,Adak,2016
Academy Of the Pacific Rim Charter Public School,Lower Neponset River,0.8254019505800313,2136,MA,Hyde Park,25025
WELLSVILLE SECONDARY SCHOOL,Sinclair Refinery,0.825533947785579,14895,NY,WELLSVILLE,36003
Sutter Elementary,Intersil Inc./Siemens Components,0.8256246353887385,95051,CA,Santa Clara,6085
JAMES H. BRIGHT ELEMENTARY/J.W. JOHNSON ELEMENTARY,Miami Drum Services,0.8258798014493184,33010,FL,HIALEAH,12086
Gravelly Lake K-12 Academy,Lakewood,0.8275032040964359,98499,WA,Lakewood,53053
CPSD Open Doors Program,Lakewood,0.8275032040964359,98499,WA,Lakewood,53053
Eugene M Nikkari Elementary,Gratiot County Landfill,0.8285004956453895,48880,MI,SAINT LOUIS,26057
BELLEAIRE ELEMENTARY SCHOOL,PCE - Carriage Cleaners,0.8288528552806527,68005,NE,BELLEVUE,31153
ESU 3 HEAD START - BELLEAIRE,PCE - Carriage Cleaners,0.8288528552806527,68005,NE,BELLEVUE,31153
Springfield High School,Old Springfield Landfill,0.8292663955431694,5156,VT,Springfield,50027
